time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
1.320,156.479,104.142,62.185,73.183,1080.395,1056.002,1156.155,1098.95,1082.214,1039.188,1060.171,1019.162,1055.984,1016.358,1061.142,1024.993,1102.851,1104.547,1042.865,1157.383,1037.045,1290.472,1048.422,1309.471,970.217,1334.016,445.011,452.69,510.029,519.108,539.227,536.325,551.606,544.33,535.28,534.8,531.141,531.125,623.456,624.291,746.429,750.064,880.683,729.828,908.715,708.182,896.951,770.516
1.360,153.131,90.757,61.539,73.175,1078.567,1056.081,1151.23,1107.705,1072.682,1047.791,1048.569,1025.818,1044.894,1023.828,1051.136,1032.2,1101.87,1104.762,1042.33,1137.494,1044.173,1271.8,1063.402,1283.574,989.057,1315.466,455.81,456.972,523.478,523.388,549.879,546.426,560.863,554.956,548.239,546.744,544.792,542.002,629.974,629.157,751.703,761.272,882.971,729.875,907.439,708.511,911.035,769.9
1.400,141.443,79.062,63.233,80.012,1076.73,1054.195,1143.419,1104.949,1060.999,1054.479,1037.51,1034.146,1036.282,1030.869,1043.057,1038.287,1102.302,1102.232,1046.568,1110.873,1078.576,1246.808,1103.105,1262.748,1019.699,1306.771,463.078,467.377,536.803,539.534,559.45,563.212,568.755,569.891,555.652,559.826,551.909,556.251,638.837,637.667,761.958,768.72,888.433,733.032,908.306,711.254,917.542,775.931
1.440,134.949,70.63,64.126,81.472,1074.421,1053.809,1135.279,1101.131,1053.909,1050.909,1032.897,1032.669,1030.711,1029.07,1037.75,1036.12,1103.153,1101.11,1057.355,1081.707,1112.106,1223.97,1134.951,1240.946,1054.671,1279.008,468.914,471.18,548.67,545.949,565.182,568.101,576.513,577.671,560.976,564.625,556.315,560.447,646.242,643.106,773.464,767.838,889.539,741.399,906.869,721.396,921.85,787.305
1.480,130.412,67.898,66.777,74.158,1069.326,1053.96,1121.69,1107.265,1044.202,1048.198,1022.344,1029.815,1019.72,1026.531,1028.883,1034.068,1106.426,1101.173,1068.004,1073.905,1142.717,1208.195,1169.607,1227.26,1083.911,1251.349,470.377,472.559,551.693,548.32,564.738,568.991,572.811,573.606,558.231,563.866,555.73,562.354,646.894,645.856,778.192,769.238,892.035,746.429,909.273,725.264,924.342,798.263
1.520,132.961,65.482,67.893,73.352,1068.182,1054.301,1108.473,1106.55,1032.688,1051.423,1010.442,1040.331,1008.673,1031.188,1018.204,1036.071,1114.912,1101.065,1090.995,1051.379,1172.601,1190.631,1199.139,1213.332,1120.59,1221.285,470.511,475.091,554.528,543.592,559.18,564.409,566.131,571.535,552.224,565.694,550.979,562.872,648.473,649.599,783.678,772.296,891.944,766.283,908.279,751.877,925.539,824.106
1.560,140.607,74.75,68.035,63.657,1065.608,1062.812,1098.403,1140.435,1022.857,1094.142,1000.261,1084.763,1001.529,1077.973,1009.609,1077.809,1117.599,1099.967,1115.578,1037.672,1201.334,1154.893,1224.547,1179.684,1151.744,1168.463,470.122,472.534,556.333,541.266,554.832,560.095,560.825,564.194,550.987,557.545,547.47,555.67,648.548,649.59,786.598,765.925,894.199,792.81,910.198,786.177,927.505,838.349
1.600,146.748,78.975,68.349,69.153,1062.327,1074.293,1089.967,1153.717,1014.834,1112.903,995.289,1098.618,995.219,1094.357,1003.09,1098.868,1117.405,1100.262,1134.462,1029.068,1225.751,1154.036,1252.208,1181.511,1177.229,1151.529,468.625,469.255,554.343,525.753,549.38,553.0,543.848,551.926,533.956,553.738,537.352,552.026,649.427,649.72,783.084,756.58,889.877,808.722,906.338,814.283,927.709,867.238
1.640,154.167,89.632,63.631,72.24,1060.499,1078.747,1081.709,1155.624,1009.055,1122.22,988.516,1111.073,990.618,1106.487,997.374,1111.143,1117.173,1098.953,1153.175,1026.042,1247.027,1132.231,1270.166,1157.844,1218.228,1118.92,466.598,468.54,552.629,515.046,536.496,544.154,530.151,545.178,518.944,548.434,521.431,546.421,646.878,647.129,778.223,746.888,885.573,823.457,896.768,828.484,927.248,888.824
1.680,160.058,101.549,58.238,69.227,1058.729,1081.371,1076.199,1156.417,1004.102,1125.53,983.944,1117.12,987.65,1111.775,994.45,1115.379,1116.549,1098.562,1170.907,1022.781,1265.778,1107.913,1292.968,1133.461,1242.759,1072.798,465.177,466.352,550.685,508.933,524.137,534.536,517.718,538.04,505.894,538.475,508.165,536.426,645.85,646.096,775.639,739.639,878.567,843.134,885.941,855.792,928.893,900.776
