time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
1.680,131.273,122.259,97.06,104.15,870.185,861.809,880.663,846.757,923.9,898.97,945.826,895.39,934.45,905.445,930.349,901.7,856.674,828.697,958.617,764.141,943.844,617.52,931.553,597.185,1016.402,558.301,-9.155,-35.511,75.171,54.199,75.153,77.091,76.084,84.727,70.511,81.442,54.852,80.512,156.755,162.311,263.426,292.118,431.453,307.054,465.736,277.5,438.309,357.663
1.720,146.437,102.209,148.49,107.996,862.807,852.876,853.263,855.417,880.648,904.0,889.499,900.415,892.215,909.502,890.588,905.51,851.615,828.033,923.515,764.85,919.899,639.509,905.095,615.788,975.202,585.169,12.361,2.623,109.73,90.581,166.096,104.825,188.568,111.185,185.252,104.939,171.537,103.917,177.921,174.439,291.911,309.805,448.699,281.3,478.775,252.708,473.407,316.988
1.760,154.074,67.555,110.687,133.634,835.737,859.92,845.029,889.003,884.985,920.213,893.709,917.165,896.118,918.788,893.136,914.232,819.072,831.098,857.56,857.791,837.281,709.76,819.379,697.33,829.059,707.863,27.813,30.897,138.951,111.105,150.338,124.808,161.803,126.531,158.144,121.317,153.332,123.043,196.887,184.945,314.781,313.224,461.938,285.279,483.721,267.801,495.044,345.385
1.800,62.939,135.783,121.949,120.098,821.947,858.314,779.999,889.716,807.716,938.074,797.117,945.1,807.158,947.378,810.362,943.27,820.625,815.682,878.353,836.934,755.478,749.276,735.288,729.408,708.005,796.729,23.543,29.019,94.572,107.8,147.845,114.911,146.917,119.31,143.294,114.687,139.233,114.79,190.164,184.375,308.56,321.913,306.271,445.109,284.01,461.751,349.161,481.285
1.840,71.253,165.152,110.905,133.805,796.012,860.043,750.436,889.492,786.587,941.945,789.716,952.82,797.172,955.588,795.464,951.756,800.045,810.764,885.901,783.459,771.456,730.877,751.546,697.108,753.647,739.062,0.229,0.937,61.45,64.466,118.352,82.461,131.528,84.188,128.212,77.014,123.612,76.431,177.958,171.41,270.384,321.311,321.681,433.202,315.55,451.909,375.567,479.815
1.880,86.246,166.413,103.521,149.331,788.774,854.273,730.157,887.106,763.146,937.194,767.666,947.377,774.08,950.259,773.775,947.46,813.118,804.031,903.769,736.679,810.519,649.508,782.973,622.775,816.159,674.305,-5.866,-5.362,43.263,38.478,109.584,59.225,126.873,60.979,125.107,57.255,119.003,57.444,171.644,169.75,248.332,307.441,344.947,412.614,346.339,420.996,404.46,470.866
1.920,103.737,165.681,96.949,165.363,793.531,849.01,724.506,881.248,759.611,924.314,766.196,937.345,772.571,936.792,772.464,931.16,815.239,800.021,905.003,721.085,840.325,611.694,814.464,591.725,879.308,597.556,-10.002,-13.979,34.931,19.328,106.544,45.51,123.117,49.021,121.671,47.355,115.505,47.22,164.193,166.715,250.009,289.046,362.148,390.515,353.758,391.371,410.689,449.456
1.960,129.263,140.012,105.824,159.058,773.422,852.497,718.78,881.268,752.711,915.786,760.283,926.458,764.767,924.142,763.18,919.57,805.781,799.332,894.859,732.564,877.112,591.261,861.292,565.282,939.419,557.97,-8.812,-13.536,43.271,30.699,107.619,55.794,126.977,58.517,125.062,57.2,118.592,56.558,164.44,166.992,258.102,289.557,399.103,345.025,421.476,328.895,420.607,406.377
2.000,151.146,114.517,103.345,156.462,772.097,850.849,721.968,871.046,762.286,903.76,769.68,911.673,774.295,912.113,772.384,906.726,802.359,800.904,873.836,745.392,885.673,595.044,875.993,572.086,946.396,550.819,7.168,6.876,57.319,37.998,122.683,59.635,137.088,61.973,133.585,65.978,128.591,62.127,178.19,169.523,285.648,300.702,427.309,304.849,455.986,283.588,431.949,359.117
2.040,166.034,92.23,96.097,150.492,768.942,838.686,726.108,853.59,767.38,886.946,775.723,894.431,780.056,895.752,777.118,890.531,791.935,800.859,848.242,767.82,870.118,605.936,875.393,589.272,923.809,572.734,35.893,43.311,86.833,49.604,129.805,92.918,141.777,104.759,139.214,106.532,135.114,102.227,184.503,176.825,315.334,314.026,448.637,281.652,472.914,256.331,460.289,322.2
2.080,151.383,72.39,122.351,148.223,779.526,835.445,764.308,835.31,799.196,857.348,806.166,865.201,811.275,862.927,811.56,855.652,778.742,797.265,823.102,811.861,799.998,678.35,786.435,665.736,852.786,610.74,30.924,28.231,114.971,124.673,147.068,160.359,154.617,167.456,150.942,162.266,147.488,158.338,193.749,181.787,324.982,312.547,456.808,286.014,483.442,262.958,491.82,316.965
2.120,148.078,53.803,122.566,112.838,781.922,821.163,788.123,799.457,830.181,837.534,845.397,849.965,849.477,856.181,844.239,849.762,769.557,790.235,785.105,849.414,726.502,717.865,706.369,696.563,777.484,683.015,31.54,41.182,123.012,132.319,146.027,160.221,154.281,166.215,152.26,158.731,150.413,157.132,206.836,204.681,329.82,319.161,457.136,298.653,481.0,281.581,495.565,347.257
